Mã MH	Tên Môn Học	Tên Lớp	Số TC	Sĩ Số	Đã ĐK	Khóa	Lịch Học	Nhóm TH	Nhóm BT	Địa Điểm	
BAA00101	Triết học Mác - Lênin	24HOH2	3	100	69	2024	T6(1-5)-P.cs2:E103	N/A	N/A	LT
BAA00101	Triết học Mác - Lênin	24KVL1	3	96	72	2024	T2(1-5)-P.cs2:F201	N/A	N/A	LT
BAA00101	Triết học Mác - Lênin	24KVL2	3	100	72	2024	T3(1-5)-P.cs2:E106	N/A	N/A	LT
BAA00102	Kinh tế chính trị Mác - Lênin	23_1	2	96	0	2023	T3(6-10)-P.cs2:F201	N/A	N/A	LT
BAA00102	Kinh tế chính trị Mác - Lênin	23_2	2	100	0	2023	T6(6-10)-P.cs2:E206	N/A	N/A	LT
BAA00102	Kinh tế chính trị Mác - Lênin	23_3	2	100	0	2023	T7(1-5)-P.cs2:E206	N/A	N/A	LT
BAA00102	Kinh tế chính trị Mác - Lênin	24HDH1	2	96	54	2024	T2(6-10)-P.cs2:F208	N/A	N/A	LT
BAA00102	Kinh tế chính trị Mác - Lênin	24HOH1	2	100	80	2024	T4(6-10)-P.cs2:D212	N/A	N/A	LT
BAA00102	Kinh tế chính trị Mác - Lênin	24HOH1TN	2	100	68	2024	T5(6-10)-P.cs2:F205	N/A	N/A	LT
BAA00102	Kinh tế chính trị Mác - Lênin	24HOH2	2	100	69	2024	T6(1-5)-P.cs2:E103	N/A	N/A	LT
BAA00102	Kinh tế chính trị Mác - Lênin	24ICD1	2	100	64	2024	T7(6-10)-P.cs2:E103	N/A	N/A	LT
BAA00103	Chủ nghĩa xã hội khoa học	23_1	2	96	0	2023	T7(6-9)-P.cs2:F208	N/A	N/A	LT
BAA00103	Chủ nghĩa xã hội khoa học	23_2	2	100	0	2023	T7(1-4)-P.cs2:E206	N/A	N/A	LT
BAA00103	Chủ nghĩa xã hội khoa học	23_3	2	100	0	2023	T3(6-9)-P.cs2:NĐH5.8	N/A	N/A	LT
BAA00103	Chủ nghĩa xã hội khoa học	23_4	2	100	0	2023	T6(6-9)-P.cs2:E206	N/A	N/A	LT
BAA00103	Chủ nghĩa xã hội khoa học	23_5	2	100	0	2023	T3(1-4)-P.cs2:D212	N/A	N/A	LT
BAA00103	Chủ nghĩa xã hội khoa học	23_6	2	100	0	2023	T2(6-9)-P.cs2:D106	N/A	N/A	LT
BAA00103	Chủ nghĩa xã hội khoa học	24DCH1	2	100	61	2024	T5(6-9)-P.cs2:E201	N/A	N/A	LT
BAA00103	Chủ nghĩa xã hội khoa học	24DTV1	2	100	67	2024	T6(6-9)-P.cs2:E202	N/A	N/A	LT
